outcome,carat,cut,color,clarity,depth,table,price,x,y,z,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,a6,a7,a8,a9,a10,b6,b7,b8,b9,b10
0,0.54,Premium,D,SI1,62.3,60,1715,5.22,5.18,3.24,0.755516794975847,0.652740881545469,0.718906395835802,0.293982469476759,0.35451250593178,0.712320247432217,0.202625984791666,0.0523072525393218,0.653004250489175,0.433013278525323,0.459402664548088,-0.695706499642235,-0.449393239195914,0.52974828336114,2.0418489685893,2.48351247423325,-0.606711808539618,0.499532496514989,1.39189205355499,0.326658899743502
1,0.24,Very Good,E,VVS1,63.5,57,492,3.94,3.96,2.51,0.216134758666158,0.116419138386846,0.273204147117212,0.122805513208732,0.792062769411132,0.382367989514023,0.0362301422283053,0.0538323912769556,0.482103819260374,0.616243746131659,1.1869450152657,1.02187502718235,1.53885678178041,1.6549450430216,0.609257011652058,0.838395475958702,0.343311633697195,1.14096995267373,0.765996565475737,-0.739268243086144
1,0.91,Very Good,J,I1,63.1,57,2048,6.12,6.06,3.84,0.413377600954846,0.104997001588345,0.691870276117697,0.606028091162443,0.602813839446753,0.861053271219134,0.0385104680899531,0.108074360527098,0.841624095570296,0.287157315760851,-0.553990100206359,-0.465261742044337,-1.31985568172949,0.380923793695007,-0.897313062110913,-0.597664718434832,0.211653234056611,1.22474329360767,0.589778971077922,-0.400017016211544
1,0.23,Good,E,VS1,64.1,59,402,3.83,3.85,2.46,0.2608333081007,0.172299157362431,0.248450508108363,0.761003343621269,0.86198044824414,0.896067350637168,0.311150409514084,0.332044622162357,0.261316029587761,0.239539512665942,-0.281341574381453,0.657103380823508,-0.442729539080635,-0.474171566716228,-1.41859867287732,-1.9258451213339,-0.838594156660331,-0.555272171991477,-1.15324501274309,0.0304699599670938
1,0.7,Ideal,D,VS2,61.6,58,3092,5.66,5.7,3.5,0.0494994374457747,0.374636858236045,0.891338009387255,0.779827374266461,0.587631523609161,0.885736541356891,0.363280314020813,0.863944256678224,0.657370803179219,0.244800463784486,-0.815961730308329,0.756081647759726,1.0635637734862,0.328275170226826,-1.40549360769682,-1.22068844385163,0.278253714169681,-1.01922150717363,-0.814111949238213,0.583079940435497
1,1.12,Ideal,F,SI1,61.6,56,6087,6.66,6.72,4.12,0.666548487497494,0.212060987716541,0.923982994165272,0.901968930847943,0.733848149655387,0.208650485845283,0.930664316518232,0.505180902313441,0.694999110186473,0.503078056266531,0.907283673196141,0.402385059186541,0.175229696759201,0.483523500664179,-0.301838389315684,-1.50271688020741,-0.845446801112547,-1.01071707702627,-0.403263012879103,0.33071243017884
0,1.5,Fair,E,SI2,65.8,57,7459,7.17,7.11,4.7,0.0775538550224155,0.441266153473407,0.309802767354995,0.557392600690946,0.539542448008433,0.235366162611172,0.565665314206854,0.797020186437294,0.959581901784986,0.207537125097588,-2.4336879190182,0.287214710207078,-1.25309899270327,-0.374499129292885,0.498544349445519,-0.876433461078383,-0.744533054698587,-1.04237622281042,0.0291609734042687,1.25298525268751
0,1.02,Ideal,G,VVS2,61.6,57,8401,6.45,6.47,3.98,0.808117467677221,0.214539217762649,0.863946805009618,0.224093518452719,0.621768974466249,0.542253785533831,0.73281019134447,0.158095818944275,0.610844883369282,0.219324309146032,0.983864696802282,-0.227629450628382,0.272297173669716,0.820787413734083,0.300030986674257,-0.823794365881366,-0.155647367964388,-1.8895230912317,-1.44220130305799,0.360690302935095
0,2.04,Premium,J,VS1,62.6,58,14660,8.11,8.06,5.06,0.598615401657298,0.131873313337564,0.701695846393704,0.80519581050612,0.910685816314071,0.902466700179502,0.204285857267678,0.0707962072920054,0.760720284190029,0.360839845612645,0.522577112712014,2.0353059998541,-0.102653779986766,-0.561814778451612,-0.413295813338166,-0.116749955789318,-0.941350493756227,-0.298096001941842,-0.496242270299946,-0.199540556856887
0,0.37,Ideal,G,SI1,61.4,55,586,4.63,4.68,2.86,0.636224331334233,0.452331512933597,0.0399371213279665,0.870950331911445,0.408896053209901,0.138231087941676,0.892800335073844,0.280765057075769,0.912090363679454,0.0831379666924477,1.30258276427757,1.88537202033347,-0.106734754852071,-0.524112445251785,-0.178086521394701,-0.695400249279481,-0.667637800489732,-0.575716387657731,1.21266524773221,0.0450218798269333
0,0.47,Ideal,H,IF,62.4,57,1865,4.97,5,3.11,0.430572462501004,0.939019579906017,0.594260990153998,0.773479835828766,0.853925815783441,0.510187438689172,0.169826931785792,0.175624302588403,0.538966609863564,0.150054924422875,0.153669851399561,1.11662877497793,-0.241899098651991,-0.500103595230909,0.913731283799186,1.05942833441115,0.578437839829795,-0.688902362926678,-1.3058750818945,-0.573859616030525
0,0.59,Ideal,E,VVS2,62,55,2643,5.36,5.41,3.34,0.493484639097005,0.999020780203864,0.626755663659424,0.883122428320348,0.787876946851611,0.741769906133413,0.650337043916807,0.283718141494319,0.158653031103313,0.0828373613767326,1.48258834156312,0.684072791674076,0.759850359026969,0.269797518510056,-1.10037704768544,1.74067510811361,0.683084896149198,-1.6943375837774,-0.531268433689132,0.728911779757604
1,0.31,Premium,G,VVS1,60.5,60,1046,4.4,4.33,2.64,0.721278957091272,0.247661289991811,0.597164910519496,0.686118765501306,0.530117402086034,0.549054728588089,0.568149389931932,0.482643984258175,0.372168753063306,0.433219535509124,0.546883767005491,0.764357526518638,1.51657715569726,-0.559097751674232,-0.503362059102028,0.36435297577917,1.8316622661574,1.5986633353521,1.24761996659808,0.627289985350542
0,0.3,Good,G,VS2,63.1,56,526,4.25,4.28,2.69,0.61616298602894,0.0749672490637749,0.106347543653101,0.711371837416664,0.986238247249275,0.973631190136075,0.229322235099971,0.683311321074143,0.569149347487837,0.776584307430312,0.87729384036786,0.998763624474716,-0.232018835159193,1.28897973081848,1.15055811592612,-0.142535068626723,-0.188718560753552,-1.56568472403198,-1.08810766575948,-0.366211850680006
1,0.39,Ideal,G,SI1,60.5,56,866,4.77,4.79,2.89,0.795386801473796,0.657202410046011,0.310303661273792,0.878358126152307,0.512846737168729,0.693850708892569,0.807552400510758,0.942548630991951,0.895364962751046,0.441058218479157,-0.615378957052536,-1.32394646480126,0.03920206252345,0.00517838826280661,-0.414627526446118,-2.68560514038218,0.73045066933028,0.269466035516289,0.298601969773764,0.139033365946568
1,1.12,Ideal,F,VVS2,61.3,57,10764,6.67,6.7,4.1,0.692338143475354,0.872254962334409,0.235116018448025,0.698227774584666,0.651729252422229,0.885749783599749,0.44788089604117,0.717763507738709,0.149277774617076,0.537268301704899,-1.64419894843023,-2.55675886294704,-1.75463698794755,-2.99024382203899,-1.58327495045007,-1.10846268452473,-1.17064448233585,-0.127446455321289,1.03420056079873,-0.571944579150213
0,0.7,Fair,H,VS2,65,56,2268,5.6,5.5,3.61,0.241271696984768,0.714135870570317,0.384655288653448,0.189092826331034,0.87624059827067,0.95123358652927,0.402484140358865,0.0774232717230916,0.739895696286112,0.518919846042991,2.40404806890778,0.046259561675881,-0.535170928970436,-0.352512287032605,-0.239213548304974,0.782410795462258,-0.489787510376207,-1.54160774857818,-1.32203499126366,0.0196072381259595
0,0.34,Ideal,H,SI1,62.6,56,490,4.46,4.48,2.8,0.682944974396378,0.415939402766526,0.0897262848448008,0.492476090090349,0.0283636129461229,0.969670980703086,0.0229042440187186,0.816861525876448,0.874952756799758,0.734844503924251,-0.50296350177687,0.339965739296245,-1.12896428525034,0.112683640372111,0.765375238920193,0.959227040078612,0.0292363171746826,0.104954652244053,-0.956311338787176,0.633234335898168
0,0.27,Ideal,G,VS2,61.6,54,490,4.17,4.2,2.58,0.629890287062153,0.384174335980788,0.493283447809517,0.00678738951683044,0.180571208009496,0.891812740592286,0.55027643381618,0.42968892515637,0.209755648160353,0.3466059374623,0.195321109005395,-1.20902014118668,1.18913423882954,0.450880399532682,-0.367056655634969,0.365603415269913,-0.661608283901671,-1.08429001856672,-1.78802647964067,-1.74582247994068
0,1.51,Very Good,H,SI1,63.5,55,8541,7.31,7.22,4.61,0.842054315144196,0.718277933541685,0.460129938786849,0.684180576819927,0.402456965530291,0.766492448048666,0.16484702588059,0.554845371516421,0.996182253817096,0.544268610654399,-0.46193183586337,0.3191704838169,0.885466323527099,-0.377815350903564,1.70675747764458,0.669556375432119,-0.0483617774737484,0.578868622845418,0.765684033370905,-0.961826816499481
0,0.7,Good,D,SI2,59.3,60,2461,5.74,5.8,3.42,0.281737515470013,0.903123059310019,0.428620501887053,0.630266606574878,0.00878145592287183,0.130637289024889,0.46108808554709,0.129806570708752,0.692230134969577,0.968610791955143,-0.532719125408539,-1.01682835789099,-0.67583938854692,-0.946742543166648,1.14628920751337,-0.00816562283316313,0.889619747337428,1.13569941769351,0.137969059686873,-0.996464129994244
0,1.59,Very Good,D,SI2,59.9,59,10685,7.6,7.52,4.53,0.871521109947935,0.769081843085587,0.476658766856417,0.433130776509643,0.936341515509412,0.162192838732153,0.76175963645801,0.582453520502895,0.767020981060341,0.831765499664471,-1.34752994138888,-0.175946879689691,-1.0725627269798,0.353331165113345,1.47243251756257,0.851153269410594,-0.644816651259104,0.495657822505258,-1.2066391102975,-1.71757471070107
0,1.01,Very Good,I,SI2,63.7,56,4047,6.33,6.38,4.05,0.625394830713049,0.325050988700241,0.454495475627482,0.00861985026858747,0.872935473918915,0.0664640094619244,0.878450172254816,0.665751680498943,0.413597238948569,0.63686470896937,-0.0549528737767037,-0.740537387048809,-1.28728767923338,1.22713805052111,1.64734546025321,0.64026617423649,0.548910320201721,1.82311723584354,2.27801301929837,2.00953033056979
1,0.31,Premium,I,VS2,62.3,60,558,4.32,4.31,2.69,0.386741935741156,0.513128994265571,0.727748263627291,0.358367095934227,0.709881188813597,0.252510324586183,0.993747387779877,0.20047143753618,0.589851636439562,0.380405244184658,-1.5873198989211,2.22356844930397,1.49362753203887,0.460309062257525,0.0415093182980449,0.781436436447418,1.06966069910761,2.24118730886989,1.65926956904559,0.176684597737553
1,1.19,Premium,H,SI2,61.5,58,3998,6.88,6.78,4.2,0.171511047519743,0.384642702294514,0.32217423338443,0.291357896989211,0.523243438685313,0.944111490854993,0.553322687046602,0.454159726155922,0.873723634285852,0.925591446924955,-0.416275702090044,-0.527858125130456,0.325227568783586,0.378714368975228,-0.492767550360351,0.420053076521309,-0.292838130479625,0.850442979201626,-0.954998000926132,-0.104794180499091
0,1.04,Ideal,E,VVS2,62.9,55,10019,6.47,6.51,4.08,0.656490014865995,0.165885594906285,0.968946886947379,0.103092346340418,0.199871574994177,0.802850295556709,0.799532367382199,0.22808261285536,0.528325878083706,0.534596298821271,-1.14810572395628,-0.868507957347829,0.298263288981448,-0.587319556105447,-1.92531320256079,-0.436962458623549,-1.71206658360788,-0.576338419386184,-1.86721751591633,-1.52382141997056
0,1.02,Very Good,F,VS1,61.9,59,7257,6.38,6.44,3.97,0.689757081447169,0.252875511534512,0.290522296680138,0.936613970203325,0.269160892115906,0.435321272583678,0.646180406911299,0.504699187586084,0.304941921727732,0.38976870290935,0.879162633749697,0.559208309226395,1.61986979355347,1.18794911148641,1.93621137573469,0.0560097166073932,0.615682625508161,-0.494871145413718,-1.07208456341738,-1.24840567864579
1,1,Very Good,F,VS2,61.6,56,6013,6.42,6.47,3.97,0.929767298744991,0.455772227374837,0.353560897987336,0.580334992380813,0.600261295214295,0.988690018421039,0.675882640760392,0.298375837039202,0.384284651372582,0.367186347255483,-2.03679539210601,0.263111072121204,0.06161502344145,-0.576887030171205,0.847252988619283,2.44749042304087,1.23708031939228,0.46148663770352,0.0750636331965949,-3.08394869979618
0,0.7,Very Good,G,SI1,63.3,61,2184,5.6,5.55,3.53,0.605519926175475,0.187921926844865,0.28940790751949,0.875851738965139,0.515115154441446,0.416439939755946,0.271051470888779,0.225219004554674,0.235325527377427,0.332764880498871,0.472058271696452,-1.2392625780611,0.302240267490237,-0.417500524086319,-0.222230227989808,0.215794409348989,1.03988906262323,-0.668430606628976,-0.624765862436473,1.9057134620185
1,0.7,Very Good,G,VS2,58.2,59,2513,5.87,5.95,3.44,0.583073381334543,0.562782485038042,0.286030899034813,0.619438013061881,0.543426719494164,0.445050435839221,0.792410524562001,0.704611319117248,0.198101157788187,0.797687094425783,-1.67929805079317,-0.451155789233758,-1.10158884409609,-0.425844206280482,-0.58869664576967,-1.55964326456782,0.956012544778743,0.414402452156895,0.332725886731957,-0.554077330679576
0,0.7,Premium,E,SI2,61.8,60,2342,5.65,5.61,3.48,0.0787713648751378,0.401145400013775,0.819691563490778,0.497437553945929,0.787167594069615,0.935233855852857,0.634325683815405,0.144160930765793,0.0768456615041941,0.244339214870706,-2.40420906930176,-0.719068776029426,0.485658759782467,0.157272392290951,-0.470770267655368,-2.02603781522185,-1.86203500099281,0.721986233146214,0.22803542539283,1.35886340528937
1,0.71,Ideal,J,SI1,61,57,1713,5.78,5.8,3.53,0.986053473781794,0.609341308474541,0.275500112213194,0.113197227707133,0.759735543746501,0.149783268338069,0.315591206075624,0.348206436727196,0.0932480909395963,0.787773601943627,-0.0493326693752829,-1.74666654117667,-0.561082171817424,0.726256791313811,1.39948604783951,1.48638436769361,0.87235755347392,-0.0777387200026184,0.950583858126101,0.723140855197023
0,0.33,Good,E,SI1,63.8,55,579,4.36,4.38,2.79,0.780417788308114,0.30567274405621,0.529408717295155,0.969002217752859,0.973983184434474,0.656390545656905,0.33469909010455,0.175491643603891,0.815428911009803,0.499007422244176,1.35451271591041,0.314391764466038,-0.474847351533868,-3.13984736219284,-1.89681861793534,-0.602096649865352,0.303691134135381,-0.24702924445576,0.437697613407996,0.998460002903359
0,0.7,Ideal,H,VS1,61.9,56,2710,5.7,5.73,3.54,0.619986820267513,0.922640426084399,0.762556637171656,0.442761328071356,0.525392102543265,0.46078358986415,0.269597965525463,0.209839944494888,0.376497574849054,0.864970455877483,-0.263567721369448,-0.234542838656137,0.440518035923635,-1.82251324021952,1.36158214240106,0.375882202647716,0.0186226557861197,0.789148102696871,0.915057625887928,-0.59551213125693
1,1.01,Ideal,F,VS2,61.2,58,7409,6.45,6.43,3.94,0.458725695731118,0.738434846047312,0.243752459529787,0.165706764208153,0.6092881297227,0.720910611562431,0.810874317772687,0.157860456733033,0.275130764814094,0.757266660453752,0.310329611379731,-0.978630876483557,-0.000546182102712567,0.730923777767924,-0.118542590658139,1.18444831515764,0.649233934113542,0.0902802476204284,-0.959410560520529,-2.00947002602456
0,0.34,Ideal,E,SI1,61.7,56,765,4.52,4.49,2.78,0.528895511291921,0.900052883662283,0.177129773655906,0.745157057885081,0.878242662874982,0.224779086653143,0.134636473376304,0.757893907604739,0.793945730198175,0.539415226550773,1.47156671121784,-0.448340506547324,-1.02820334128361,0.00251283760171439,0.244766047688301,1.08809733178717,-0.366749774380718,0.624266115644246,0.728296627396754,0.962529982782907
0,0.91,Very Good,E,SI1,61.9,61,4211,6.1,6.12,3.78,0.727413734653965,0.485370250185952,0.70464305090718,0.764947382267565,0.180819841800258,0.504913348471746,0.455599029315636,0.12243176670745,0.737362861633301,0.560663857497275,0.972165145457931,1.39600681548014,1.8756561722375,2.16726926994686,1.26024143578165,0.33085621375426,1.50373492491914,0.976060300787786,0.998430958798589,1.81079211021468
0,0.34,Ideal,E,VVS1,61.1,56,1208,4.52,4.55,2.77,0.505851546069607,0.669771266635507,0.283992062322795,0.240028958301991,0.26549352100119,0.895825298503041,0.982273991685361,0.457231497624889,0.336674676509574,0.870774267474189,0.595260989905831,0.759959427123251,1.23157238744579,0.383976729437786,0.516248198771087,-0.346221671024686,-0.360184004403702,-0.0632231974331419,0.979246388875372,1.47647756198445
1,0.4,Ideal,D,SI1,61.3,56,726,4.75,4.78,2.92,0.0775062080938369,0.946434625657275,0.585662082768977,0.509940928081051,0.798505080863833,0.908208312932402,0.78520875191316,0.76345560210757,0.139663357054815,0.616056861355901,-1.63042692059831,-0.731354141163701,-0.335507103859652,-0.982549683013152,-0.656095987817484,0.0505874870641573,1.30729337919651,1.65357825231907,0.474129669756048,1.11068965149963
1,0.3,Ideal,G,IF,61.4,57,956,4.37,4.33,2.67,0.860903370194137,0.761573941446841,0.986953439889476,0.0110752447508276,0.264675823738799,0.0110263971146196,0.59467563056387,0.428733700886369,0.368517722934485,0.942093352321535,-0.109118464013071,0.878849154324266,1.91777978578905,1.9618707553703,0.897347129436175,-0.64091762537622,-1.37176329019593,-1.96735159385182,-0.000891935035995273,-0.574358385294905
0,1.04,Ideal,D,SI1,61.9,57,6112,6.51,6.54,4.04,0.204640544950962,0.935473104240373,0.095927634742111,0.112857372267172,0.0335317072458565,0.313484245212749,0.461945347255096,0.103985251393169,0.10455165291205,0.437116102315486,0.614031604748763,0.0653630534084342,0.00647489821637311,-0.335748736441977,-0.435532345188119,-0.339233275758059,0.471865011174298,1.44518924236803,-0.1615268772168,-0.84836868487183
1,1,Premium,H,I1,61.3,60,2695,6.39,6.43,3.93,0.318020671140403,0.485580744687468,0.551503926981241,0.888929267413914,0.475560629740357,0.744642149889842,0.171341445762664,0.0339791853912175,0.249961840221658,0.435376744484529,1.6732477645098,1.41993877500344,0.340664538352609,0.434139099266959,0.133456737233118,0.027329016489974,-0.0818750196497437,-0.686594821531507,-1.04552195655035,-1.99327147150454
1,0.32,Ideal,F,VS1,61,54,716,4.42,4.44,2.7,0.94006107095629,0.985179516719654,0.240086178760976,0.2292438542936,0.20638161431998,0.546360490145162,0.00984074850566685,0.0521066060755402,0.556307009421289,0.770355137530714,1.04696097478609,1.68943046637899,0.545901128243417,-0.264996387143428,0.128101435936697,0.70736599113574,1.41407249329678,0.760849019020718,-0.00165716857849552,-0.666064203381283
0,1.08,Ideal,I,SI1,62.1,59,4521,6.57,6.53,4.07,0.0159120345488191,0.513967873295769,0.990927325794473,0.103354129008949,0.822865567868576,0.193764367606491,0.889838853152469,0.0991135565564036,0.151467295829207,0.774710551835597,-1.38350702164411,0.131721055195288,-1.26634994563513,0.459789502379872,0.884760205345508,1.07864152580581,1.41335771708722,0.956047289816191,0.99978092119485,0.0459315605092291
0,0.32,Ideal,D,VVS1,61.8,56,1067,4.39,4.41,2.72,0.581977304071188,0.657036526827142,0.859443187480792,0.150223684264347,0.883800756186247,0.546333834761754,0.263746035983786,0.0933276216965169,0.580636916449294,0.646970863919705,1.12091185582495,1.0700797824555,-0.392365393158968,-1.26772617405889,-2.37130926972828,-1.00585441420831,0.463515618297882,1.42806488251148,0.688146317302772,0.218696850974279
0,1.13,Premium,G,VS1,61.6,58,7720,6.76,6.68,4.14,0.649858050048351,0.58945800899528,0.583619957789779,0.185198517981917,0.232330032857135,0.189637513132766,0.367940390948206,0.649160000262782,0.729071623645723,0.985681476537138,0.594003037056409,1.20211930979759,1.55372830731305,1.83274203650735,0.93379594048473,1.37554068616348,1.72470661147522,0.71145063779837,1.00710732979081,0.184110673884203
1,0.31,Ideal,H,VVS2,61.1,56,802,4.37,4.33,2.66,0.891036636894569,0.606228795833886,0.41818537004292,0.1725695701316,0.032883444102481,0.718586725881323,0.904086139984429,0.733405029634014,0.921248242259026,0.901081294286996,0.106601459077948,0.130338099456523,-0.660770049395213,-0.728148071901863,-0.0524046973619628,-1.22782999137425,-0.722236409245569,0.421972555727417,-0.604220247176189,-0.42974853107691
0,0.52,Ideal,G,VVS2,61.6,55,1957,5.14,5.18,3.19,0.41386794555001,0.549095005029813,0.464855786645785,0.743516595335677,0.437073785346001,0.755261267069727,0.460929597727954,0.298965783789754,0.0961236215662211,0.687850325834006,0.0146845594230386,0.0604218962918451,0.542881143862883,1.20343642467587,-0.192324276579826,-0.508207711582153,0.419733927698971,0.107184691749123,-0.465455399082871,-0.332314796678155
1,1.33,Very Good,G,VS2,61.7,59,8953,7.04,7.09,4.36,0.548773341113702,0.349136403994635,0.0300085372291505,0.0358686433173716,0.945782080059871,0.500193035928533,0.771304797381163,0.206228896975517,0.366435821866617,0.330650151707232,-0.451755504045511,-1.70709019099798,-2.00936095848643,-0.89541174078292,-0.370775332382162,0.372781304624135,-0.972822174081952,-0.190008316118138,1.8192680616432,-0.0315092818120794
1,1.51,Very Good,I,VS1,60.5,60,9704,7.42,7.46,4.5,0.382960259681568,0.99206341127865,0.588394494028762,0.835506504867226,0.357456870609894,0.42114942916669,0.0639536429662257,0.512730012647808,0.315398950362578,0.746468275552616,0.173356705853675,0.581573442086363,1.52331978941792,1.17576840692304,0.613127251973741,0.467979587843607,1.30684963269794,-0.703989404857566,0.550651696435881,0.148662088956566
1,0.74,Ideal,F,VS1,61.9,54,3590,5.78,5.82,3.59,0.101704192347825,0.560510294744745,0.842934776330367,0.995360526489094,0.405987279955298,0.739869116805494,0.925256547052413,0.730473780306056,0.53176840255037,0.630496140103787,-2.43019643024164,-2.37116164116234,-0.970964199644956,0.796701700324658,-0.463467927422192,0.733873727193952,0.228868358682977,1.01317007057113,-1.71156245140375,-0.269365681804102
0,0.51,Very Good,E,VS2,63.3,56,1781,5.12,5.08,3.23,0.890354273375124,0.9077653454151,0.909045125357807,0.148448670748621,0.909052345901728,0.196865195641294,0.782492867438123,0.212772134691477,0.869767359225079,0.193284265929833,-0.171013956314812,-1.25010518797134,-2.77158956593255,0.340012303289383,1.35305806241235,1.29945511186286,-0.593590336366442,0.908517481436616,0.459390007444612,-0.150724801210536
0,0.35,Ideal,H,IF,61.5,57,868,4.55,4.58,2.8,0.037077751243487,0.232118984218687,0.142509939381853,0.373240893706679,0.660856947535649,0.533973731566221,0.739530869759619,0.875139080686495,0.482746881898493,0.357532502152026,0.105137641996173,0.736687622718748,-0.908281622605652,-1.11378615468255,-0.651318305051048,1.44027735530645,0.735440768550437,0.720248749051911,0.758870654470459,0.425626664578827
0,0.77,Good,H,VVS1,63.1,57,3096,5.83,5.86,3.69,0.169711949070916,0.110065880697221,0.309528195299208,0.827104061143473,0.352366734994575,0.2695343028754,0.280560860177502,0.0389879057183862,0.596265540923923,0.436642074724659,-0.693326988745771,-0.252136256506701,-0.466066054835797,0.890605523411002,-0.516825243895576,-0.675349726128566,-2.01957235848966,-0.856925568944725,-0.870081318259228,-0.177631268997596
0,0.59,Ideal,J,VS2,60.8,57,1352,5.47,5.42,3.31,0.285787519300357,0.576862736837938,0.909674977883697,0.0264197383075953,0.999602504540235,0.830804032506421,0.294444497907534,0.992942999582738,0.873592954361811,0.434911899501458,-0.139674572247255,1.46526412806728,0.504495816399705,-0.162741340747033,-0.0533881685816359,0.701447390915429,-0.327771614489099,-0.32168917719456,0.485446657376523,-0.0492482081714242
0,1,Premium,H,SI1,61.8,60,3991,6.37,6.31,3.92,0.777836751192808,0.951671811984852,0.0903296980541199,0.908817701041698,0.00491971871815622,0.359241344267502,0.931237350217998,0.424655512208119,0.961933826562017,0.170091053470969,-3.75068753032843,-2.04075283260864,-1.31993755180281,-0.1633964231577,1.09442317601367,0.742466153809085,0.641585245383227,1.4675589244704,0.332787776854269,1.5678013549927
0,1.1,Premium,D,SI1,60.4,59,5166,6.66,6.69,4.03,0.76135502406396,0.0955270170234144,0.330818145303056,0.311667602974921,0.107006090460345,0.239477152936161,0.024776506004855,0.39392246468924,0.0108025469817221,0.678211450111121,-1.28013274303738,-0.0289060477955512,-0.937444294017382,-0.253989578255265,0.229691796644923,-0.838462018976216,0.889931558100261,0.408832900286904,-0.0337809370704567,1.09572001613648
0,1.7,Ideal,J,VS2,62.2,56,9276,7.64,7.61,4.74,0.495554384309799,0.650065444875509,0.32881947257556,0.807863809634,0.529637088533491,0.330529360799119,0.477055496536195,0.819697582628578,0.533414668869227,0.170099544571713,-0.440715772609874,-1.4765277076677,-2.15928947263555,-3.46637570077736,-2.01753887476776,-1.70138458697057,-0.303968676572586,-0.28988232222912,0.289105644313279,0.993231983589522
